"product_snumber","product_name","manufacturing_date","unit_manufactur","product_id","sno","flavour","date_of_manufacturing","unit_price","product_id-2"
2,"takatak","1741683793029",3987,"10000000002",1,"spicy chilli","1758459619000",29,"10000000002"
2,"takatak","1741683793029",3987,"10000000002",2,"tamato tangy","12439692000",42,"10000000002"
2,"takatak","1741683793029",3987,"10000000002",3,"spicy chilli","1757508917000",35,"10000000002"
2,"takatak","1741683793029",3987,"10000000002",4,"spicy chilli","1756679622000",43,"10000000002"
2,"takatak","1741683793029",3987,"10000000002",5,"spicy chilli","1757759331000",30,"10000000002"
2,"takatak","1741683793029",3987,"10000000002",6,"tamato tangy","1760830466000",50,"10000000002"
2,"takatak","1741683793029",3987,"10000000002",7,"sour cream onion","1757376760000",44,"10000000002"
2,"takatak","1741683793029",3987,"10000000002",8,"tamato tangy","1756809760000",26,"10000000002"
2,"takatak","1741683793029",3987,"10000000002",9,"spicy chilli","1756866505000",46,"10000000002"
2,"takatak","1741683793029",3987,"10000000002",10,"tamato tangy","1755445674000",13,"10000000002"
2,"takatak","1741683793029",3987,"10000000002",11,"spicy chilli","1756193979000",50,"10000000002"
2,"takatak","1741683793029",3987,"10000000002",12,"sour cream onion","1761650871000",50,"10000000002"
2,"takatak","1741683793029",3987,"10000000002",13,"spicy chilli","1755018332000",21,"10000000002"
2,"takatak","1741683793029",3987,"10000000002",14,"spicy chilli","1757638275000",10,"10000000002"
2,"takatak","1741683793029",3987,"10000000002",15,"spicy chilli","1760931062000",16,"10000000002"
2,"takatak","1741683793029",3987,"10000000002",16,"spicy chilli","1759030536000",31,"10000000002"
2,"takatak","1741683793029",3987,"10000000002",17,"tamato tangy","1761512030000",39,"10000000002"
2,"takatak","1741683793029",3987,"10000000002",18,"sour cream onion","1761082923000",47,"10000000002"
2,"takatak","1741683793029",3987,"10000000002",19,"tamato tangy","1755082851000",47,"10000000002"
2,"takatak","1741683793029",3987,"10000000002",20,"tamato tangy","1755976388000",31,"10000000002"
2,"takatak","1741683793029",3987,"10000000002",21,"sour cream onion","1760707118000",18,"10000000002"
2,"takatak","1741683793029",3987,"10000000002",22,"spicy chilli","1757118334000",20,"10000000002"
2,"takatak","1741683793029",3987,"10000000002",23,"spicy chilli","1762754526000",26,"10000000002"
2,"takatak","1741683793029",3987,"10000000002",24,"tamato tangy","1757089693000",43,"10000000002"
2,"takatak","1741683793029",3987,"10000000002",25,"spicy chilli","1756749623000",18,"10000000002"
2,"takatak","1741683793029",3987,"10000000002",26,"tamato tangy","1756125315000",35,"10000000002"
2,"takatak","1741683793029",3987,"10000000002",27,"spicy chilli","1757671449000",19,"10000000002"
2,"takatak","1741683793029",3987,"10000000002",28,"tamato tangy","1761511123000",35,"10000000002"
2,"takatak","1741683793029",3987,"10000000002",29,"spicy chilli","1759157702000",19,"10000000002"
2,"takatak","1741683793029",3987,"10000000002",30,"spicy chilli","1760357294000",48,"10000000002"
2,"takatak","1741683793029",3987,"10000000002",31,"tamato tangy","1760062580000",36,"10000000002"
2,"takatak","1741683793029",3987,"10000000002",32,"tamato tangy","1756014999000",50,"10000000002"
2,"takatak","1741683793029",3987,"10000000002",33,"spicy chilli","1758578892000",21,"10000000002"
2,"takatak","1741683793029",3987,"10000000002",34,"spicy chilli","1760566111000",37,"10000000002"
2,"takatak","1741683793029",3987,"10000000002",35,"sour cream onion","1760552805000",44,"10000000002"
2,"takatak","1741683793029",3987,"10000000002",36,"sour cream onion","1762284408000",35,"10000000002"
2,"takatak","1741683793029",3987,"10000000002",37,"tamato tangy","1759122934000",17,"10000000002"
2,"takatak","1741683793029",3987,"10000000002",38,"tamato tangy","1757401219000",36,"10000000002"
2,"takatak","1741683793029",3987,"10000000002",39,"sour cream onion","1760474587000",14,"10000000002"
2,"takatak","1741683793029",3987,"10000000002",40,"sour cream onion","1755827882000",23,"10000000002"
2,"takatak","1741683793029",3987,"10000000002",41,"tamato tangy","1760699306000",18,"10000000002"
